Time,Peak
6.654465,0.064164
7.510898,0.115438
8.046478,0.061773
9.037787,0.155225
10.687933,0.083104
15.030866,0.113743
17.032264,0.068177
20.448615,0.083414
21.009995,0.244811
21.986443,0.110318
24.84104,0.111825
27.236914,0.470011
27.558275,0.093422
27.705234,0.33227
28.648847,0.089509
30.016176,0.115782
30.422514,0.062319
30.863805,0.177085
31.37858,0.069081
31.49741,0.066053
34.019319,0.18107
34.912877,0.077511
36.238417,0.114916
38.571219,0.060659
40.219383,0.146915
41.03454,0.079014
42.287525,0.172645
42.736012,0.109845
43.161772,0.063547
43.623489,0.108309
43.749181,0.082967
44.400379,0.104089
45.678716,0.365
45.937994,0.076233
46.076039,0.25712
46.955099,0.075965
48.266099,0.108493
48.729801,0.090887
49.547411,0.069434
52.108928,0.163917
52.894892,0.074692
53.300287,0.07172
53.625471,0.168525
54.010913,0.114236
54.117022,0.132827
54.571554,0.0959
55.36104,0.136978
55.457438,0.07631
56.212532,0.161258
56.82965,0.121586
56.955105,0.116735
57.227531,0.088119
57.761522,0.285095
58.556401,0.101941
59.701892,0.124227
59.970009,0.099414
60.360423,0.083499
60.876558,0.093443
60.97764,0.067068
62.531726,0.086926
63.33696,0.262952
64.174685,0.140367
64.52747,0.077891
65.093084,0.184715
65.431313,0.141663
65.741668,0.077519
65.896684,0.161935
66.689185,0.162338
66.786297,0.093178
67.640932,0.063377
68.355252,0.204815
68.72738,0.063966
68.857779,0.158393
69.231089,0.325124
69.32269,0.099038
70.111151,0.16398
70.391156,0.180908
71.231204,0.327126
71.593535,0.105385
71.685266,0.123634
72.600555,0.07637
76.329646,0.065026
