Frame,Time,X,Y
251,10.04,190.550392,128.705335
252,10.08,190.55579,128.680236
253,10.12,190.539257,128.737511
254,10.16,190.562886,128.83538
255,10.2,190.532543,128.900224
256,10.24,190.562405,128.829296
257,10.28,190.525675,128.889909
258,10.32,190.509096,128.949808
259,10.36,190.521408,129.02287
260,10.4,190.510691,128.947776
261,10.44,190.490166,129.106502
262,10.48,190.462131,129.217826
263,10.52,190.439217,129.276446
264,10.56,190.460912,129.21428
265,10.6,190.411089,129.304917
266,10.64,190.360066,129.32495
267,10.68,190.368009,129.431409
268,10.72,190.361403,129.320968
269,10.76,190.340403,129.445159
270,10.8,190.304197,129.478382
271,10.84,190.29086,129.442014
272,10.88,190.304621,129.471881
273,10.92,190.261305,129.487036
274,10.96,190.262104,129.501398
275,11,190.238525,129.520794
276,11.04,190.261064,129.500798
277,11.08,190.250349,129.505726
278,11.12,190.250697,129.620278
279,11.16,190.26282,129.609575
280,11.2,190.251491,129.620417
281,11.24,190.24854,129.571608
282,11.28,190.277949,129.595982
283,11.32,190.266714,129.564981
284,11.36,190.278571,129.59268
285,11.4,190.272445,129.56137
286,11.44,190.253073,129.505613
287,11.48,190.23194,129.491903
288,11.52,190.253178,129.500717
289,11.56,190.251096,129.569286
290,11.6,190.252979,129.522124
291,11.64,190.232667,129.496172
292,11.68,190.251184,129.519369
293,11.72,190.218812,129.404802
294,11.76,190.227186,129.476185
295,11.8,190.196663,129.515035
296,11.84,190.226368,129.476064
297,11.88,190.193162,129.436132
298,11.92,190.166064,129.388345
299,11.96,190.155377,129.375489
300,12,190.155224,129.375536
301,12.04,190.155071,129.375583
302,12.08,190.132708,129.323935
303,12.12,190.123599,129.312047
304,12.16,190.133305,129.321055
305,12.2,190.115961,129.295261
306,12.24,190.099225,129.250401
307,12.28,190.097942,129.229782
308,12.32,190.099474,129.246331
309,12.36,190.120758,129.145728
310,12.4,190.201705,129.020613
311,12.44,190.266275,128.959233
312,12.48,190.202833,129.018448
313,12.52,190.285763,128.884541
314,12.56,190.365316,128.965121
315,12.6,190.398132,128.931053
316,12.64,190.364736,128.959119
317,12.68,190.452291,128.787375
318,12.72,190.567427,128.572303
319,12.76,190.674488,128.479531
320,12.8,190.569153,128.570353
321,12.84,190.794345,128.420285
322,12.88,191.164952,128.132594
323,12.92,191.439967,128.048108
324,12.96,191.167015,128.132485
325,13,191.725849,127.921523
326,13.04,192.252962,127.647202
327,13.08,192.503085,127.645706
328,13.12,192.252096,127.644467
329,13.16,192.692995,127.649574
330,13.2,193.079086,127.514934
331,13.24,193.257836,127.418527
332,13.28,193.07963,127.514469
333,13.32,193.504089,127.267622
334,13.36,194.015036,126.933824
335,13.4,194.350001,126.770282
336,13.44,194.01939,126.927141
337,13.48,194.729305,126.667599
338,13.52,195.64458,126.570295
339,13.56,196.1307,126.487274
340,13.6,195.652692,126.565139
341,13.64,196.612918,126.371453
342,13.68,197.339651,126.27086
343,13.72,197.686603,126.140055
344,13.76,197.340588,126.271212
345,13.8,198.058734,126.040136
346,13.84,198.715875,125.838762
347,13.88,198.920014,125.765823
348,13.92,198.717347,125.833116
349,13.96,199.072531,125.730226
350,14,199.378908,125.668381
351,14.04,199.538676,125.600564
352,14.08,199.380824,125.663437
353,14.12,199.686473,125.631356
354,14.16,199.932419,125.579788
355,14.2,200.083996,125.565774
356,14.24,199.932194,125.577445
357,14.28,200.302998,125.562082
358,14.32,200.745504,125.671134
359,14.36,200.977127,125.652818
360,14.4,200.748216,125.663456
361,14.44,201.221141,125.766605
362,14.48,201.574764,125.939276
363,14.52,201.679608,125.994918
364,14.56,201.576065,125.932265
365,14.6,201.794791,125.918834
366,14.64,201.992134,125.877108
367,14.68,202.085383,125.850519
368,14.72,201.993485,125.86825
369,14.76,202.206012,125.91907
370,14.8,202.317954,125.887035
371,14.84,202.338001,125.884046
372,14.88,202.319177,125.880712
373,14.92,202.38103,125.901366
374,14.96,202.312413,125.794653
375,15,202.295055,125.810097
376,15.04,202.318492,125.785104
377,15.08,202.257149,125.680167
378,15.12,202.195638,125.678817
379,15.16,202.167267,125.683998
380,15.2,202.199174,125.670467
381,15.24,202.133862,125.651198
382,15.28,202.061639,125.704392
383,15.32,202.032991,125.803597
384,15.36,202.063766,125.697981
385,15.4,201.973024,125.821642
386,15.44,201.882898,125.882056
387,15.48,201.825366,125.888094
388,15.52,201.886171,125.874946
389,15.56,201.759896,125.973689
390,15.6,201.664111,126.039886
391,15.64,201.612941,126.107732
392,15.68,201.666147,126.032824
393,15.72,201.584564,126.172034
394,15.76,201.459217,126.194961
395,15.8,201.404501,126.175982
396,15.84,201.463518,126.187228
397,15.88,201.369287,126.161518
398,15.92,201.278542,126.212096
399,15.96,201.229415,126.308991
400,16,201.22916,126.309002
401,16.04,201.228904,126.309012
402,16.08,201.153574,126.398041
403,16.12,201.125192,126.335927
404,16.16,201.15715,126.395355
405,16.2,201.058205,126.370305
406,16.24,201.048124,126.29396
407,16.28,201.035376,126.265167
408,16.32,201.050862,126.291583
409,16.36,201.04703,126.225994
410,16.4,201.07931,126.173737
411,16.44,201.127357,126.194367
412,16.48,201.080908,126.17254
413,16.52,201.158579,126.081336
414,16.56,201.308828,126.144185
415,16.6,201.418813,126.199052
416,16.64,201.307005,126.137113
417,16.68,201.573686,126.173199
418,16.72,201.961203,126.277684
419,16.76,202.176277,126.294005
420,16.8,201.961687,126.270298
421,16.84,202.300959,126.349428
422,16.88,202.570428,126.358512
423,16.92,202.662619,126.360874
424,16.96,202.573173,126.356878
425,17,202.787403,126.462645
426,17.04,202.980243,126.47102
427,17.08,203.105691,126.581291
428,17.12,202.982053,126.468025
429,17.16,203.207579,126.599705
430,17.2,203.41847,126.683384
431,17.24,203.503699,126.749439
432,17.28,203.42073,126.682468
433,17.32,203.56157,126.730361
434,17.36,203.745739,126.833765
435,17.4,203.812669,126.938278
436,17.44,203.748031,126.827566
437,17.48,203.905091,127.000053
438,17.52,204.021402,127.107213
439,17.56,204.086934,127.17168
440,17.6,204.022715,127.105401
441,17.64,204.170246,127.240961
442,17.68,204.274828,127.286964
443,17.72,204.293549,127.288438
444,17.76,204.275379,127.279907
445,17.8,204.347052,127.266835
446,17.84,204.391987,127.266121
447,17.88,204.425809,127.391649
448,17.92,204.392469,127.263979
449,17.96,204.465438,127.429439
450,18,204.515392,127.428109
451,18.04,204.516891,127.519
452,18.08,204.514811,127.42613
453,18.12,204.503307,127.5223
454,18.16,204.495076,127.480119
455,18.2,204.491891,127.548524
456,18.24,204.495439,127.478688
457,18.28,204.496894,127.478054
458,18.32,204.452406,127.548684
459,18.36,204.420314,127.591194
460,18.4,204.452882,127.546366
461,18.44,204.34358,127.596162
462,18.48,204.100014,127.541325
463,18.52,203.89737,127.564955
464,18.56,204.101945,127.539928
465,18.6,203.637971,127.608029
466,18.64,202.999147,127.652111
467,18.68,202.679186,127.568362
468,18.72,202.989576,127.651797
469,18.76,202.367855,127.694469
470,18.8,201.755171,127.706023
471,18.84,201.390266,127.695464
472,18.88,201.747584,127.710374
473,18.92,201.0815,127.675464
474,18.96,200.511699,127.743402
475,19,200.248595,127.751126
476,19.04,200.512227,127.735166
477,19.08,200.084336,127.707035
478,19.12,199.679391,127.685204
479,19.16,199.486524,127.780705
480,19.2,199.67894,127.683163
481,19.24,199.343681,127.826095
482,19.28,199.016908,127.903244
483,19.32,198.895255,127.933817
484,19.36,199.017563,127.897671
485,19.4,198.772823,127.913675
486,19.44,198.607185,127.928556
487,19.48,198.575483,127.951056
488,19.52,198.608737,127.92588
489,19.56,198.526417,128.002647
490,19.6,198.492904,127.927932
491,19.64,198.509693,128.021744
492,19.68,198.494688,127.929507
493,19.72,198.518143,128.080883
494,19.76,198.507167,128.30797
495,19.8,198.473022,128.471316
496,19.84,198.509505,128.30488
497,19.88,198.469631,128.465196
498,19.92,198.528453,128.449612
499,19.96,198.571467,128.376702
500,20,198.571326,128.376636
501,20.04,198.571185,128.376569
502,20.08,198.551246,128.094671
503,20.12,198.541231,127.955071
504,20.16,198.552649,128.090356
505,20.2,198.523492,127.856425
506,20.24,198.50912,127.655792
507,20.28,198.47409,127.602428
508,20.32,198.513271,127.651208
509,20.36,198.451425,127.517221
510,20.4,198.41576,127.317823
511,20.44,198.441466,127.298389
512,20.48,198.415508,127.316151
513,20.52,198.447874,127.141148
514,20.56,198.538989,126.800121
515,20.6,198.579843,126.641114
516,20.64,198.542435,126.799149
517,20.68,198.682336,126.427206
518,20.72,198.875651,126.139389
519,20.76,198.967733,126.030453
520,20.8,198.878266,126.133301
521,20.84,199.004416,125.922303
522,20.88,199.11752,126.1253
523,20.92,199.167666,126.321379
524,20.96,199.121743,126.123395
525,21,199.236525,126.60736
526,21.04,199.38973,126.934888
527,21.08,199.512731,126.933739
528,21.12,199.393164,126.931642
529,21.16,199.73953,126.8525
530,21.2,200.073321,126.434505
531,21.24,200.266621,126.25953
532,21.28,200.076664,126.43371
533,21.32,200.423926,126.038406
534,21.36,200.723968,125.8137
535,21.4,200.812387,125.83799
536,21.44,200.727213,125.813431
537,21.48,200.82447,125.763841
538,21.52,200.847692,125.971094
539,21.56,200.880109,125.952851
540,21.6,200.849272,125.970769
541,21.64,200.956853,125.799294
542,21.68,201.109871,125.464802
543,21.72,201.155223,125.435974
544,21.76,201.11028,125.46398
545,21.8,201.214071,125.300998
546,21.84,201.272866,125.376018
547,21.88,201.235972,125.576612
548,21.92,201.277143,125.374744
549,21.96,201.191846,125.622088
550,22,201.073073,125.83304
551,22.04,200.970823,125.910284
552,22.08,201.075502,125.83383
553,22.12,200.928178,126.071094
554,22.16,200.804763,126.373723
555,22.2,200.746366,126.487003
556,22.24,200.8071,126.371644
557,22.28,200.701838,126.538905
558,22.32,200.627467,126.525112
559,22.36,200.62199,126.44009
560,22.4,200.630352,126.523578
561,22.44,200.663933,126.35034
562,22.48,200.849507,126.123927
563,22.52,200.967987,125.991994
564,22.56,200.849322,126.124463
565,22.6,201.09681,125.747916
566,22.64,201.336828,125.469403
567,22.68,201.437185,125.300985
568,22.72,201.338862,125.46667
569,22.76,201.487476,125.277856
570,22.8,201.62995,125.172844
571,22.84,201.678074,125.19392
572,22.88,201.63269,125.161668
573,22.92,201.75522,125.2063
574,22.96,201.87753,125.403132
575,23,201.941808,125.40796
576,23.04,201.879371,125.395486
577,23.08,202.075155,125.567074
578,23.12,202.326154,125.698026
579,23.16,202.472111,125.875678
580,23.2,202.327818,125.697401
581,23.24,202.629035,125.975493
582,23.28,202.939751,126.173567
583,23.32,203.080224,126.318843
584,23.36,202.944129,126.169885
585,23.4,203.214787,126.416428
586,23.44,203.551079,126.575617
587,23.48,203.665325,126.644173
588,23.52,203.550826,126.572816
589,23.56,203.796113,126.681655
590,23.6,204.072604,126.73235
591,23.64,204.167857,126.712439
592,23.68,204.072848,126.73237
593,23.72,204.243387,126.764596
594,23.76,204.420538,126.71528
595,23.8,204.506784,126.706407
596,23.84,204.421365,126.71139
597,23.88,204.575292,126.719787
