Frame,Time,X,Y
0,0,194,148
1,0.04,193.999933,147.9999
2,0.08,194.018443,148.026069
3,0.12,194.032239,148.037426
4,0.16,194.018509,148.022598
5,0.2,194.021755,148.073947
6,0.24,194.060613,148.136462
7,0.28,194.051827,148.153528
8,0.32,194.060822,148.134743
9,0.36,194.079221,148.163339
10,0.4,194.128151,148.172294
11,0.44,194.15258,148.173069
12,0.48,194.127968,148.169737
13,0.52,194.17408,148.149221
14,0.56,194.227225,148.120698
15,0.6,194.2508,148.146037
16,0.64,194.2269,148.11792
17,0.68,194.290679,148.103976
18,0.72,194.413139,148.060308
19,0.76,194.475575,148.037045
20,0.8,194.415358,148.056646
21,0.84,194.526217,148.013836
22,0.88,194.656009,147.897329
23,0.92,194.715023,147.843259
24,0.96,194.656689,147.892436
25,1,194.780478,147.79575
26,1.04,194.897635,147.700239
27,1.08,194.966899,147.670421
28,1.12,194.89803,147.696528
29,1.16,195.020348,147.635298
30,1.2,195.155873,147.577557
31,1.24,195.204006,147.563577
32,1.28,195.155879,147.573538
33,1.32,195.286883,147.537847
34,1.36,195.404003,147.469433
35,1.4,195.471051,147.466395
36,1.44,195.404532,147.467393
37,1.48,195.542781,147.464752
38,1.52,195.67557,147.502695
39,1.56,195.741966,147.524516
40,1.6,195.675746,147.499242
41,1.64,195.808804,147.493342
42,1.68,195.910061,147.485053
43,1.72,195.945133,147.502817
44,1.76,195.910204,147.480512
45,1.8,195.995937,147.480027
46,1.84,196.10259,147.485995
47,1.88,196.160661,147.434377
48,1.92,196.102749,147.483317
49,1.96,196.234811,147.441797
50,2,196.407431,147.388614
51,2.04,196.526615,147.377949
52,2.08,196.406326,147.384156
53,2.12,196.671207,147.353223
54,2.16,197.024289,147.278051
55,2.2,197.258614,147.270386
56,2.24,197.022556,147.274959
57,2.28,197.504537,147.24498
58,2.32,198.038103,147.151125
59,2.36,198.332429,147.107422
60,2.4,198.033539,147.151997
61,2.44,198.588277,147.061386
62,2.48,199.100579,146.947022
63,2.52,199.302776,146.866814
64,2.56,199.101376,146.945842
65,2.6,199.487015,146.733612
66,2.64,199.77262,146.490835
67,2.68,199.895616,146.3612
68,2.72,199.773334,146.487095
69,2.76,200.08187,146.209242
70,2.8,200.457927,145.992033
71,2.84,200.676153,145.850698
72,2.88,200.456989,145.988453
73,2.92,200.898188,145.74964
74,2.96,201.400039,145.651764
75,3,201.614564,145.631951
76,3.04,201.40216,145.649065
77,3.08,201.726983,145.652223
78,3.12,201.723571,145.755441
79,3.16,201.706785,145.756859
80,3.2,201.723619,145.752916
81,3.24,201.700723,145.6889
82,3.28,201.712639,145.576504
83,3.32,201.671933,145.60411
84,3.36,201.713203,145.575768
85,3.4,201.515921,145.631751
