Time,Peak
21.959794,0.084094
22.908233,0.038139
23.355005,0.088653
24.114575,0.057181
24.81613,0.061803
26.751293,0.07851
27.229643,0.041012
27.457619,0.041754
27.691986,0.076369
28.152662,0.039431
28.637231,0.115679
29.102688,0.089389
29.974645,0.076757
30.85341,0.035824
31.316971,0.067409
32.710212,0.100748
33.620579,0.061796
34.062892,0.06832
34.460394,0.046534
34.888367,0.077473
36.219345,0.07196
36.936069,0.035125
37.588469,0.080386
38.300573,0.06797
38.709158,0.053206
39.354697,0.063191
39.765959,0.058915
40.180953,0.038992
40.423358,0.050605
40.61617,0.068416
41.405211,0.076447
41.865829,0.0602
42.094793,0.038837
42.3019,0.091482
43.1194,0.077679
43.539144,0.060925
44.199414,0.040596
44.40293,0.038755
45.012533,0.03693
45.223481,0.080116
47.141171,0.056121
47.359176,0.106347
49.541484,0.070571
50.228191,0.0573
50.676596,0.037113
50.898974,0.051277
51.295024,0.084898
51.513546,0.060273
51.700791,0.086391
52.094668,0.074543
52.308787,0.049702
52.906825,0.152287
52.996307,0.046802
53.090315,0.08912
53.216022,0.342599
53.428057,0.059016
53.549847,0.380126
53.718837,0.056505
53.9538,0.256632
54.064697,0.047533
54.147695,0.096468
54.395435,0.073437
54.52821,0.075821
54.745651,0.082709
54.912791,0.127923
55.143868,0.0406
55.309802,0.136722
55.543315,0.057936
55.732367,0.107966
56.145863,0.352672
56.358945,0.043495
56.562835,0.055883
56.763665,0.303011
56.8691,0.066603
56.981913,0.067333
57.166302,0.217612
57.369544,0.100364
57.578617,0.058594
57.726792,0.082189
57.99297,0.066879
58.120654,0.15048
58.352029,0.038273
58.525131,0.128279
58.742578,0.067335
59.315689,0.117749
59.402332,0.068528
59.486433,0.10642
59.611612,0.334044
59.735698,0.067174
59.923728,0.340654
60.125607,0.0369
60.294368,0.278231
60.499449,0.120244
60.914031,0.049279
61.290952,0.171562
61.922906,0.159617
62.305083,0.048439
62.533442,0.284754
63.179283,0.158155
63.275363,0.035913
63.596391,0.055692
63.788985,0.273743
64.446069,0.262541
64.570697,0.042821
64.839571,0.08277
65.039085,0.452637
65.13332,0.131245
65.661053,0.274943
66.091659,0.05157
66.28659,0.25442
66.712496,0.036529
66.911177,0.239887
67.004179,0.043323
67.324502,0.084627
67.541006,0.323882
67.709988,0.050882
68.199782,0.298536
68.327151,0.03978
68.614725,0.059713
68.815725,0.453055
68.908733,0.152921
69.278074,0.044446
69.465454,0.308829
69.866246,0.04344
70.054743,0.460426
70.15992,0.12422
70.674853,0.167636
71.071962,0.041474
71.272987,0.249707
71.913068,0.10551
72.546201,0.125968
74.328735,0.062759
74.543106,0.112919
74.747615,0.041002
74.941632,0.039804
75.109931,0.128187
75.381678,0.044252
75.557953,0.079107
75.766474,0.053467
75.927495,0.066768
76.733434,0.09996
