Frame,Time,X,Y
0,0,155.946174,129.656839
1,0.04,155.94617,129.656785
2,0.08,157.190981,129.44223
3,0.12,157.832767,129.266495
4,0.16,157.183135,129.450923
5,0.2,158.412885,129.113898
6,0.24,159.43646,128.816064
7,0.28,159.837035,128.567469
8,0.32,159.438786,128.817145
9,0.36,160.177682,128.239103
10,0.4,160.782074,127.609955
11,0.44,161.032718,127.307421
12,0.48,160.782802,127.608927
13,0.52,161.338554,127.038714
14,0.56,161.840964,126.741493
15,0.6,162.027396,126.706812
16,0.64,161.840954,126.745417
17,0.68,162.168739,126.723786
18,0.72,162.367757,126.828013
19,0.76,162.392523,126.942192
20,0.8,162.367454,126.829383
21,0.84,162.398461,127.07829
22,0.88,162.299967,127.308565
23,0.92,162.235174,127.419048
24,0.96,162.298709,127.311044
25,1,162.174592,127.545303
26,1.04,162.117306,127.705998
27,1.08,162.098138,127.721935
28,1.12,162.118332,127.704491
29,1.16,162.047089,127.740318
30,1.2,161.876398,127.929276
31,1.24,161.725457,128.112899
32,1.28,161.876555,127.927979
33,1.32,161.599576,128.157374
34,1.36,161.601146,128.246687
35,1.4,161.935845,128.298832
36,1.44,161.602381,128.242598
37,1.48,162.542509,128.337778
38,1.52,164.60505,128.395634
39,1.56,165.929475,128.463396
40,1.6,164.617091,128.396172
41,1.64,167.422317,128.44377
42,1.68,170.699681,128.304227
43,1.72,172.460295,128.182241
44,1.76,170.710381,128.322606
45,1.8,174.151576,128.134074
46,1.84,177.535747,127.985874
47,1.88,178.988118,128.022028
48,1.92,177.555282,128.031685
49,1.96,180.198764,128.01012
50,2,181.824351,127.865086
51,2.04,182.166827,127.733646
52,2.08,181.825651,127.873253
53,2.12,182.25311,127.553306
54,2.16,181.812965,126.975159
55,2.2,181.43127,126.591686
56,2.24,181.808104,126.979334
57,2.28,180.926315,126.199034
58,2.32,179.513996,125.615898
59,2.36,178.593676,125.415347
60,2.4,179.522018,125.628734
61,2.44,177.560797,125.454983
62,2.48,175.126654,125.556092
63,2.52,173.619821,125.639136
64,2.56,175.121475,125.563013
65,2.6,172.136298,125.745727
66,2.64,168.989866,126.089232
67,2.68,166.880216,126.473045
68,2.72,168.981145,126.104079
69,2.76,166.260147,126.391018
70,2.8,163.902255,126.785316
71,2.84,161.406704,127.180985
72,2.88,163.919855,126.755839
73,2.92,161.632273,127.145897
74,2.96,158.783398,127.61749
75,3,156.629096,128.201222
76,3.04,158.815215,127.579567
77,3.08,155.703443,128.507494
78,3.12,152.5836,129.245111
79,3.16,151.468999,129.411461
80,3.2,152.585167,129.24396
81,3.24,150.617135,129.648079
82,3.28,149.649071,130.173738
83,3.32,149.497083,130.392589
84,3.36,149.648506,130.174889
85,3.4,149.490378,130.511018
86,3.44,149.800758,130.652416
87,3.48,150.106751,130.772471
88,3.52,149.800809,130.652707
89,3.56,150.47517,130.838056
90,3.6,151.104019,130.968708
91,3.64,151.313621,131.057474
92,3.68,151.104166,130.968325
93,3.72,151.491756,131.101062
94,3.76,151.712301,131.123013
95,3.8,151.805271,131.082143
96,3.84,151.711944,131.121801
97,3.88,151.865918,130.998265
98,3.92,151.853916,130.837532
99,3.96,151.810625,130.757013
100,4,151.810615,130.757063
101,4.04,151.810605,130.757113
102,4.08,151.691832,130.79666
103,4.12,151.595706,130.784107
104,4.16,151.691736,130.795506
105,4.2,151.422537,130.805094
106,4.24,151.125824,130.842078
107,4.28,151.060008,130.893753
108,4.32,151.127362,130.839578
109,4.36,151.075697,130.901279
110,4.4,151.320271,130.922021
111,4.44,151.443928,130.907834
112,4.48,151.319051,130.92007
113,4.52,151.553955,130.90047
114,4.56,151.704544,130.910073
115,4.6,151.748282,130.963827
116,4.64,151.70182,130.9109
117,4.68,151.80404,130.882287
118,4.72,151.719909,130.960085
119,4.76,151.626954,130.894672
120,4.8,151.716488,130.952333
121,4.84,151.472334,130.882422
122,4.88,151.175305,130.737185
123,4.92,150.993928,130.712363
124,4.96,151.167542,130.727595
125,5,150.831047,130.523713
126,5.04,150.491325,130.412275
127,5.08,150.358557,130.399885
128,5.12,150.488978,130.412912
129,5.16,150.313906,130.321629
130,5.2,150.416622,130.335407
131,5.24,150.587245,130.341207
132,5.28,150.414664,130.335316
133,5.32,150.767765,130.297207
134,5.36,151.161274,130.300455
135,5.4,151.337746,130.372506
136,5.44,151.158849,130.303159
137,5.48,151.482771,130.453305
138,5.52,151.70011,130.609194
139,5.56,151.764703,130.609742
140,5.6,151.696808,130.606567
141,5.64,151.859875,130.678261
142,5.68,152.0178,130.875173
143,5.72,152.09361,131.049642
144,5.76,152.004547,130.869817
145,5.8,152.011188,131.231575
146,5.84,151.942882,131.625017
147,5.88,152.370592,131.794057
148,5.92,151.929186,131.620272
149,5.96,152.398634,131.93344
150,6,152.995396,132.222697
151,6.04,153.10401,132.326497
152,6.08,152.995245,132.221445
153,6.12,153.184449,132.42255
154,6.16,153.253841,132.598376
155,6.2,153.272296,132.68622
156,6.24,153.253875,132.597404
157,6.28,153.25873,132.835993
158,6.32,153.198152,132.896406
159,6.36,153.189384,132.882989
160,6.4,153.199121,132.894727
161,6.44,153.232746,132.839471
162,6.48,153.270735,132.746096
163,6.52,153.320427,132.735744
164,6.56,153.270707,132.745448
165,6.6,153.339528,132.752417
166,6.64,153.502378,132.674342
167,6.68,153.615676,132.638969
168,6.72,153.502142,132.672251
169,6.76,153.68872,132.511341
170,6.8,153.824941,132.436536
171,6.84,153.902206,132.385762
172,6.88,153.823646,132.435893
173,6.92,153.935846,132.322196
174,6.96,154.088651,132.145462
175,7,154.155971,132.021223
176,7.04,154.087361,132.146457
177,7.08,154.265415,131.934546
178,7.12,154.51232,131.707219
179,7.16,154.606708,131.628715
180,7.2,154.51186,131.703784
181,7.24,154.716873,131.583414
182,7.28,154.908049,131.510379
183,7.32,154.982597,131.537987
184,7.36,154.907675,131.511201
185,7.4,155.074848,131.555675
186,7.44,155.253397,131.650161
187,7.48,155.384098,131.76508
188,7.52,155.253319,131.651447
189,7.56,155.48553,131.842234
190,7.6,155.71264,132.095677
191,7.64,155.805214,132.151082
192,7.68,155.71297,132.094231
193,7.72,155.923155,132.189134
194,7.76,156.083516,132.264447
195,7.8,156.118085,132.311687
196,7.84,156.084023,132.264036
197,7.88,156.153664,132.347932
198,7.92,156.190502,132.414662
199,7.96,156.219927,132.573539
200,8,156.219949,132.573563
201,8.04,156.219971,132.573588
202,8.08,156.238197,132.742907
203,8.12,156.203463,132.843637
204,8.16,156.23799,132.742025
205,8.2,156.157798,132.911683
206,8.24,156.070982,133.056871
207,8.28,156.037273,133.095633
208,8.32,156.070698,133.056475
209,8.36,156.026209,133.090751
210,8.4,155.98915,133.141484
211,8.44,156.000115,133.163011
212,8.48,155.989087,133.139884
213,8.52,155.999091,133.208619
214,8.56,156.099546,133.24968
215,8.6,156.169873,133.279726
216,8.64,156.099354,133.248431
217,8.68,156.263606,133.314997
218,8.72,156.50414,133.308962
219,8.76,156.625853,133.299731
220,8.8,156.503177,133.307814
221,8.84,156.74361,133.271776
222,8.88,156.892658,133.274935
223,8.92,156.920184,133.27953
224,8.96,156.892351,133.273488
225,9,156.957402,133.271721
226,9.04,157.009787,133.30527
227,9.08,156.977022,133.294638
228,9.12,157.0094,133.305123
229,9.16,157.016593,133.295452
230,9.2,156.971947,133.265337
231,9.24,156.920522,133.27659
232,9.28,156.972174,133.264278
233,9.32,156.908491,133.274775
234,9.36,156.797632,133.321908
235,9.4,156.739791,133.39836
236,9.44,156.797722,133.320702
237,9.48,156.68324,133.393827
238,9.52,156.573707,133.450104
239,9.56,156.576133,133.516957
