Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
PrB_Rup,Sarod,Rupak,2:6&,6,&,2,,,,TS,,23.355005,,,,0.088653,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,02:07,7,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,2:7&,7,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,03:01,1,On,2,,,,TS,24.84104,24.81613,0.5,2,0.111825,0.061803,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,3:1&,1,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,03:02,2,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,3:2&,2,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,03:03,3,On,2,,,,TS,,26.751293,,1,,0.07851,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,3:3&,3,&,2,,,,TS,27.236914,27.229643,0.5,1,0.470011,0.041012,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,03:04,4,On,2,,,,TS,27.705234,27.691986,1.5,2,0.33227,0.076369,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,3:4&,4,&,2,,,,TS,,28.152662,,2.5,,0.039431,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,03:05,5,On,2,,,,TS,28.648847,28.637231,2,3,0.089509,0.115679,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,3:5&,5,&,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
PrB_Rup,Sarod,Rupak,03:06,6,On,2,,,,TS,,,,,,,Prattyush Banerjee,Gauri Shankar Karmarkar,1A
