Frame,Time,X,Y
0,0,175,129
1,0.04,175.000017,128.99988
2,0.08,175.279263,128.602687
3,0.12,175.363974,128.374569
4,0.16,175.271863,128.605331
5,0.2,175.313415,128.186062
6,0.24,175.155781,127.700027
7,0.28,174.979577,127.476986
8,0.32,175.153992,127.704189
9,0.36,174.732961,127.106789
10,0.4,174.189764,126.476852
11,0.44,173.924928,126.179211
12,0.48,174.190607,126.480158
13,0.52,173.697517,125.89958
14,0.56,173.206823,125.538132
15,0.6,172.961601,125.486806
16,0.64,173.207771,125.537915
17,0.68,172.709243,125.391608
18,0.72,172.174458,125.410377
19,0.76,171.911008,125.420593
20,0.8,172.174517,125.410288
21,0.84,171.637414,125.435924
22,0.88,171.050665,125.53927
23,0.92,170.798738,125.582823
24,0.96,171.05136,125.53946
25,1,170.561329,125.604008
26,1.04,170.184605,125.700118
27,1.08,170.050902,125.699633
28,1.12,170.184466,125.699036
29,1.16,169.929026,125.677057
30,1.2,169.759813,125.760822
31,1.24,169.678012,125.842791
32,1.28,169.760283,125.753523
33,1.32,169.653713,125.976992
34,1.36,169.812891,126.100176
35,1.4,170.051772,126.123003
36,1.44,169.813991,126.094425
37,1.48,170.455572,126.196309
38,1.52,171.774955,126.216331
39,1.56,172.611561,126.241331
40,1.6,171.775377,126.220898
41,1.64,173.544506,126.228526
42,1.68,175.552239,126.0499
43,1.72,176.666567,125.94409
44,1.76,175.550872,126.05852
45,1.8,177.798085,125.905577
46,1.84,180.078849,125.921121
47,1.88,181.164475,125.909829
48,1.92,180.075361,125.936013
49,1.96,182.070493,125.915484
50,2,183.490088,125.681463
51,2.04,183.925706,125.522635
52,2.08,183.492919,125.683575
53,2.12,184.177691,125.312653
54,2.16,184.308495,124.862092
55,2.2,184.265498,124.558847
56,2.24,184.307645,124.864971
57,2.28,184.171694,124.236786
58,2.32,183.809202,123.77751
59,2.36,183.510834,123.698137
60,2.4,183.808343,123.779073
61,2.44,183.115812,123.780108
62,2.48,182.141426,124.065681
63,2.52,181.496797,124.217985
64,2.56,182.13493,124.07552
65,2.6,180.819205,124.40724
66,2.64,179.152648,124.995355
67,2.68,178.243502,125.42457
68,2.72,179.149879,124.997565
69,2.76,177.268294,125.838683
70,2.8,175.222997,126.853456
71,2.84,174.123827,127.387866
72,2.88,175.219303,126.857674
73,2.92,173.119152,127.91549
74,2.96,171.149027,129.105707
75,3,170.283901,129.664387
76,3.04,171.142055,129.109727
77,3.08,169.544131,130.27826
78,3.12,168.501841,131.103577
79,3.16,168.22629,131.299314
80,3.2,168.501015,131.100166
81,3.24,168.089755,131.534686
82,3.28,168.119966,132.02906
83,3.32,168.254967,132.207602
84,3.36,168.119924,132.028302
85,3.4,168.41608,132.320205
86,3.44,168.860598,132.44
87,3.48,169.089975,132.485056
88,3.52,168.860123,132.442608
89,3.56,169.328657,132.537536
90,3.6,169.678549,132.617436
91,3.64,169.75062,132.636067
92,3.68,169.67866,132.61463
93,3.72,169.791257,132.662193
94,3.76,169.811094,132.716856
95,3.8,169.773812,132.643342
96,3.84,169.810644,132.717222
97,3.88,169.713917,132.550649
98,3.92,169.55951,132.409545
99,3.96,169.387433,132.343053
100,4,169.387465,132.343119
101,4.04,169.387498,132.343185
102,4.08,169.193777,132.33002
103,4.12,169.038474,132.30085
104,4.16,169.193534,132.328309
105,4.2,168.854585,132.289961
106,4.24,168.42584,132.252395
107,4.28,168.321638,132.27022
108,4.32,168.425777,132.25121
109,4.36,168.224646,132.248758
110,4.4,168.246735,132.226286
111,4.44,168.284436,132.179558
112,4.48,168.246721,132.225183
113,4.52,168.362864,132.164779
114,4.56,168.468692,132.178685
115,4.6,168.526766,132.202962
116,4.64,168.468087,132.180248
117,4.68,168.603203,132.201947
118,4.72,168.8021,132.385599
119,4.76,168.831019,132.36197
120,4.8,168.802788,132.387565
121,4.84,168.91222,132.386737
122,4.88,168.917368,132.628103
123,4.92,168.866829,132.760443
124,4.96,168.913943,132.626376
125,5,168.762216,132.724725
126,5.04,168.526406,132.67839
127,5.08,168.381695,132.71438
128,5.12,168.524827,132.680905
129,5.16,168.313625,132.693906
130,5.2,168.247869,132.744918
131,5.24,168.308319,132.725431
132,5.28,168.246871,132.7491
133,5.32,168.314334,132.79766
134,5.36,168.315569,132.880191
135,5.4,168.28875,132.934938
136,5.44,168.313825,132.880717
